"Testo Italiano";"Polaritá positiva su testo italiano";"Polaritá negativa su testo italiano";"Testo Inglese";"Polaritá su testo inglese";"Rabbia Calcolata";"Anticipazione calcolata";"Disgusto calcolata";"Paura calcolata";"Gioia calcolata";"Tristezza calcolata";"Sorpresa calcolata";"Fiducia calcolata"
"Ho preso parte all'evento su invito di amici per cui non sapevo bene cosa aspettarmi, ma ne sono rimasta entusiasta!
All'inizio abbiamo fatto un piccolo tour guidato all'interno delle stanze di palazzo Doria  Pamphilj con la spiegazione della storia della famiglia, successivamente abbiamo ascoltato un concerto di musica barocca, con assoli e operette cantate.
Da ""profana"" ho apprezzato tantissimo l'idea di calare la musica nel suo contesto fisico e storico, ha reso l'operetta e la musica barocca, a me sconosciute, molto più accessibile; dall'altra parte il concerto ha fatto del classico tour nei palazzi storici un'esperienza molto più piacevole e coinvolgente.
Non l'avrei detto a priori, ma mi sono divertita! Merito anche del talento dei musicisti, della cantante (sono stata rapita dalla tiorba e dalla chitarra barocca, divertita dalle operette amorose) e della competente guida, molto cordiale e disponibile.
Un'esperienza che consiglio vivamente, un modo per approcciarsi a una storia e a una musica di cui spesso si sa poco in modo diverso e divertente!";"90.41";"5.34";"I took part in the event at the invitation of friends so I did not know what to expect, but I was thrilled!
At first we made a small guided tour inside the Doria Pamphili palace rooms with an explanation of the history of the family, then we listened to a concert of baroque music, with solos and singing operettas.
From ""profane"" I very much liked the idea of ??lowering the music in its physical and historical context, made the operetta and baroque music, unknown to me, much more accessible; the other side of the concert did the classic tour of the historic buildings a much more pleasant and engaging.
I would not have said from the outset, but I had fun! Merit also of the talent of the musicians, the singer (I was kidnapped by the theorbo and baroque guitar, amused by the loving operettas) and knowledgeable guide, very friendly and helpful.
An experience that I highly recommend, a way of approaching a story and a music that often little is known so different and fun!";3;"0.21";"1.44";"0.13";"0.68";"93.33";"0.52";"3.55";"0.15"
"Dopo un breve tour tra le stanze sontuose del palazzo Doria Pamphilj, immersi in un ambiente signorile tipicamente settecentesco, 4 musicisti: un soprano, una violinista, un violoncellista ed un suonatore di tiorba e chitarra barocca hanno preso parte al concerto intitolato Vivaldi & Opera.
L'ensamble ha eseguito d'insieme una diecina di pezzi propriamente barocchi, alternati da assoli del maestro Lorenzo Sabene, del quale sono rimasto particolarmente affascinato per la tecnica e l'abilità nel suonare la tiorba e la chitarra barocca.
Un ulteriore complimento alla voce del soprano Paola Alonzi e alla sua interpretazione.
Veramente un ottima occasione per una serata musicale di qualità ed in intimità al centro di Roma.";"89.04";"0.61";"After a brief tour of the sumptuous rooms of the Doria Pamphili palace, immersed in a typical eighteenth-century aristocratic setting, 4 musicians: a soprano, a violinist, a cellist and a player of the theorbo and baroque guitar they took part in the concert entitled Vivaldi & Opera.
The ensemble has performed overall a dozen pieces properly baroque, alternating solos master Lorenzo Sabene, of which I was particularly fascinated by the technique and skill in playing the theorbo and baroque guitar.
Another compliment to the soprano Paola Alonzi voice and its interpretation.
Truly an excellent opportunity for a quality music and intimate evening in the center of Rome.";3;"47.36";"0.82";"2.44";"3.34";"38.89";"4.71";"2.12";"0.33"
"Ero stata informata dell’evento tramite il passaparola di un’amica romana e trovandomi nella Capitale nel mese di giugno, ho deciso di partecipare con il mio compagno: una scelta azzeccatissima! L’evento si apre con una visita guidata, che consente di perdersi nella meraviglia degli appartamenti di palazzo Doria Pamphilj.
Segue un concerto nella Sala del Trono, in cui musica e arte figurativa sembrano unirsi in un sinolo perfetto.
Personale attento ed estremamente cordiale e guide ben preparate e interessate a stimolare la curiosità del pubblico.
Assolutamente consigliato e secondo me irrinunciabile, se si è in visita a Roma.
Promosso a pieni voti!";"83.97";"1.80";"I had been informed of the event through word of mouth Roman friend and finding myself in the capital in June, I decided to participate with my partner: a perfect choice! The event begins with a guided tour, allowing you to get lost in the wonder of the Doria Pamphili palace apartments.
Following a concert in the Throne Room, where music and visual arts seem to come together in a perfect synolon.
attentive and extremely friendly staff and well trained guides and relevant to stimulate the curiosity of the public.
Absolutely recommended and in my opinion a must if you are visiting Rome.
Passed with flying colors!";2;"1.60";"0.66";"0.98";"2.00";"85.68";"3.04";"2.27";"3.78"
"Che serata meravigliosa! La villa in sé era molto interessante e il cantante d'opera era davvero bravo e ci ha lasciato il desidero di ascoltare di più! Un ulteriore bellezza è stato vedere gli strumenti del periodo in cui la musica è stata scritta. Tuttavia non pensiamo che la cena fosse speciale come il resto della serata.";"5.59";"3.29";"What a wonderful evening! The villa itself was very interesting and the opera singer was really good and left us the desire to hear more! Another beauty was seeing the instruments of the period in which the music was written. However we do not think that dinner was special as the rest of the evening.";3;"0.88";"0.49";"0.56";"0.99";"89.56";"1.64";"5.59";"0.30"
"Tutta la produzione è stata incredibile per me. Ho amato l'opera sin da quando ero un adolescente, e avere la mia prima esperienza di opera dal vivo a Roma è stato a dir poco sorprendente. L'intero ensemble è stato bellissimo. I musicisti erano molto talentuosi, ma Paola ha toccato il mio spirito e il mio cuore con la sua voce meravigliosa e potente. A parte la sua voce, era così gentile e aveva un sorriso così gentile e caloroso. Si è davvero connessa con il pubblico. Abbiamo anche fatto delle foto e parlato con lei dopo lo spettacolo. Questo è stato un sogno che è diventato realtà per me. Stavo celebrando il mio 17 ° anniversario con mio marito, e riteniamo di aver vissuto il massimo di questa esperienza. Non solo abbiamo apprezzato l'opera, ma abbiamo ricevuto il CD e abbiamo fatto un tour del palazzo delle principesse (tutto incluso nel pacchetto della cena). Abbiamo riprenotato per includere l'opzione per la cena. Quindi, siamo stati portati in taxi (incluso nell'opzione cena) immediatamente dopo lo spettacolo ad un ristorante romantico e magico Terrazza Borromini. Tutto è stato puntuale e ben coordinato. Lì abbiamo cenato sulla terrazza. La vista di questo ristorante è stupenda. Era come vivere in una fiaba. Che notte fantastica!";"99.71";"1.83";"All production has been incredible for me. I loved the work since I was a teenager, and have my first experience of live opera in Rome has been nothing short of amazing. The entire ensemble was beautiful. The musicians were very talented, but Paul has touched my spirit and my heart with her beautiful and powerful voice. Apart from his voice, he was so kind and had a smile so warm and friendly. It is really connected with the audience. We also took pictures and talked to her after the show. This was a dream come true for me. I was celebrating my 17th anniversary with my husband, and we believe we have lived the most of this experience. Not only do we appreciate the work, but we received the CD and we did a tour of the palace of princesses (all included in the package of dinner). We rebooked to include the option for dinner. So, we were taken by taxi (included with the dinner) immediately after the show to a romantic and magical Terrace Restaurant Borromini. Everything was on time and well coordinated. There we had dinner on the terrace. The sight of this restaurant is wonderful. It was like living in a fairy tale. What a great night!";2;"0.72";"0.10";"0.59";"0.60";"92.66";"3.00";"1.90";"0.43"
"Ho prenotato questo evento per il 27 aprile 19 e non vedevo l'ora di farlo. Ho telefonato all'ufficio dell'Opera di Roma la mattina del 27, per verificare alcune informazioni aggiuntive e mi hanno detto che la performance era stata cancellata. Chiamato a Palazzo Panphilj per controllare e di nuovo sono stao avvisato dal signore alla biglietteria di Palazzo che l'evento era stato cancellato.

Ho richiesto un rimborso online solo per sapere che l'evento aveva avuto luogo e si è quindi rifiutato di fornire un rimborso.

Errore di comunicazione o truffa? Non so per certo, ma mi mancano € 90 dalla tasca. Quindi siate attento.";"48.22";"43.26";"I booked this event for April 27, 19 and I was looking forward to it. I phoned in the morning to the office of the Opera of Rome of 27, to check some additional information and they told me that the performance had been canceled. Called Palazzo Panphilj to control and again Stao are warned by the Lord to the Palace Ticket that the event had been canceled.

I requested a refund online just to know that the event had taken place and therefore refused to provide a refund.

Communication error or scam? I do not know for sure, but I miss € 90 from his pocket. So be careful.";1;"32.27";"0.08";"0.91";"0.56";"63.01";"2.25";"0.86";"0.06"
"Visitato Roma per il fine settimana, prenotato per vedere Vivaldi e Opera, devo dire che è stata una serata molto piacevole, i musicisti erano fantastici e molto appassionati della musica e dei loro strumenti. Paola ha una voce meravigliosa, potente e fluida è una meravigliosa soprano. Grazie per la bella serata!";"47.39";"0.06";"Visited Rome for the weekend, booked to see Vivaldi and Opera, I have to say it was a very enjoyable evening, the musicians were great and very passionate about music and their instruments. Paola has a wonderful voice, powerful and fluid is a wonderful soprano. Thanks for a lovely evening!";4;"0.25";"1.39";"0.13";"0.47";"95.03";"0.42";"1.53";"0.79"
"Ottima attività da fare con la tua famiglia. Ho avuto due adolescenti. Le bevande erano fantastiche. Questa è la nostra seconda volta ed è stato più piacevole della prima.";"98.48";"3.33";"Excellent activities to do with your family. I had two teenagers. The drinks were great. This is our second time and it was as enjoyable as the first.";3;"2.20";"0.66";"0.81";"1.43";"86.41";"1.77";"6.41";"0.31"
"Non perdere questo concerto! Cantanti e orchestra fantastici. La stanza adiacente dove viveva Santa Chiara è un piacere speciale.";"67.47";"31.50";"Do not miss this concert! Singers and fantastic orchestra. The adjacent room where he lived Santa Chiara is a special pleasure.";2;"3.56";"0.87";"2.06";"1.95";"81.67";"3.49";"5.44";"0.97"
"La nostra guida locale ha consigliato questo e siamo così contenti che l'abbia fatto. Un bellissimo piccolo teatro vicino al Pantheon. Quartetto d'archi perfetto e un soprano brillante e un tenore che eseguono tutte le nostre arie d'opera preferite. Modo perfetto per passare un'ora e poi cenare nelle vicinanze. Altamente raccomandato";"9.57";"0.38";"Our local guide recommended this and we are so glad he did. A beautiful small theater near the Pantheon. Quartet perfect arches and a brilliant soprano and a tenor who performed all of our favorite opera arias. Perfect way to spend an hour and then dine nearby. Highly recommended";3;"0.04";"0.11";"0.05";"0.10";"98.96";"0.24";"0.34";"0.16"
